Conclusion,Workflow_Url,Is_Default,Org,Repo,Workflow_Path
success,https://github.com/vulna-felickz/WebGoat.NET/actions/runs/8019411601,False,vulna-felickz,WebGoat.NET,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/WebGoat.NET-CORE/actions/runs/7963273004,False,vulna-felickz,WebGoat.NET-CORE,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/log4shell-vulnerable-app/actions/runs/5289516341,False,vulna-felickz,log4shell-vulnerable-app,.github/workflows/codeql-analysis.yml
null,null,False,vulna-felickz,my-spring-log4j-vuln-sample,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/reactvulna/actions/runs/5780665366,False,vulna-felickz,reactvulna,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/FullDotNetWebApp/actions/runs/7780125962,False,vulna-felickz,FullDotNetWebApp,.github/workflows/codeql.yml
success,https://github.com/vulna-felickz/DotNetCoreWebApp/actions/runs/7716451772,False,vulna-felickz,DotNetCoreWebApp,.github/workflows/codeql.yml
success,https://github.com/vulna-felickz/puma-prey/actions/runs/7946337933,False,vulna-felickz,puma-prey,.github/workflows/codeql.yml
null,null,False,vulna-felickz,code-scanning-javascript-demo,.github/workflows/codeql-analysis.yml
null,null,False,vulna-felickz,BenchmarkJava,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/babel/actions/runs/8043781004,False,vulna-felickz,babel,.github/workflows/codeql-analysis.yml
null,null,False,vulna-felickz,Damn-Vulnerable-GraphQL-Application,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/DotNetCoreWebAPI/actions/runs/7967201683,False,vulna-felickz,DotNetCoreWebAPI,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/WebGoat/actions/runs/8041196841,False,vulna-felickz,WebGoat,.github/workflows/codeql-analysis.yml
success,https://github.com/vulna-felickz/railsgoat/actions/runs/7967722774,False,vulna-felickz,railsgoat,.github/workflows/codeql-analysis.yml
